_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
304,2018-11-29 06:20:00,591,0,0,Narodowe Forum Muzyki
305,2018-11-29 06:20:00.013000,277,0,0,Nowy Targ
306,2018-11-29 06:20:01.463000,124,0,0,ul. św. Antoniego
307,2018-11-29 06:20:01.617000,791,0,0,Parking Hala Stulecia
308,2018-11-29 06:25:00,591,0,0,Narodowe Forum Muzyki
309,2018-11-29 06:25:00.010000,278,1,1,Nowy Targ
310,2018-11-29 06:25:01.860000,791,0,0,Parking Hala Stulecia
311,2018-11-29 06:25:02.067000,124,0,0,ul. św. Antoniego
312,2018-11-29 06:30:00,591,0,0,Narodowe Forum Muzyki
313,2018-11-29 06:30:00.013000,278,0,0,Nowy Targ
314,2018-11-29 06:30:01.240000,124,0,0,ul. św. Antoniego
315,2018-11-29 06:30:01.340000,790,1,0,Parking Hala Stulecia
316,2018-11-29 06:35:00,591,0,0,Narodowe Forum Muzyki
317,2018-11-29 06:35:00.013000,278,0,0,Nowy Targ
318,2018-11-29 06:35:01.657000,124,0,0,ul. św. Antoniego
319,2018-11-29 06:35:02.017000,790,0,0,Parking Hala Stulecia
320,2018-11-29 06:40:00,591,0,0,Narodowe Forum Muzyki
321,2018-11-29 06:40:00.010000,278,2,2,Nowy Targ
322,2018-11-29 06:40:01.320000,790,0,0,Parking Hala Stulecia
323,2018-11-29 06:40:01.487000,124,0,0,ul. św. Antoniego
324,2018-11-29 06:45:00,591,0,0,Narodowe Forum Muzyki
325,2018-11-29 06:45:00.013000,277,1,1,Nowy Targ
326,2018-11-29 06:45:01.643000,124,0,0,ul. św. Antoniego
327,2018-11-29 06:45:01.673000,790,0,0,Parking Hala Stulecia
328,2018-11-29 06:50:00,590,1,0,Narodowe Forum Muzyki
329,2018-11-29 06:50:00.010000,277,0,0,Nowy Targ
330,2018-11-29 06:50:01.277000,790,0,0,Parking Hala Stulecia
331,2018-11-29 06:50:02.130000,123,1,0,ul. św. Antoniego
332,2018-11-29 06:55:00,590,0,0,Narodowe Forum Muzyki
333,2018-11-29 06:55:00.013000,275,2,2,Nowy Targ
334,2018-11-29 06:55:01.450000,790,0,0,Parking Hala Stulecia
335,2018-11-29 06:55:01.537000,123,0,1,ul. św. Antoniego
336,2018-11-29 07:00:00,590,0,0,Narodowe Forum Muzyki
337,2018-11-29 07:00:00.010000,275,0,0,Nowy Targ
338,2018-11-29 07:00:01.560000,790,0,0,Parking Hala Stulecia
339,2018-11-29 07:00:01.767000,123,0,0,ul. św. Antoniego
340,2018-11-29 07:05:00,589,1,0,Narodowe Forum Muzyki
341,2018-11-29 07:05:00.017000,272,3,3,Nowy Targ
342,2018-11-29 07:05:01.193000,790,0,0,Parking Hala Stulecia
343,2018-11-29 07:05:02.030000,122,1,0,ul. św. Antoniego
344,2018-11-29 07:07:40,589,1,0,Narodowe Forum Muzyki
345,2018-11-29 07:10:00.010000,270,2,2,Nowy Targ
346,2018-11-29 07:10:01.687000,790,0,0,Parking Hala Stulecia
347,2018-11-29 07:10:01.897000,120,2,0,ul. św. Antoniego
348,2018-11-29 07:15:00.010000,270,0,0,Nowy Targ
349,2018-11-29 07:15:01.363000,790,0,0,Parking Hala Stulecia
350,2018-11-29 07:15:01.633000,119,1,1,ul. św. Antoniego
351,2018-11-29 07:17:04,589,0,0,Narodowe Forum Muzyki
352,2018-11-29 07:20:00.013000,269,1,1,Nowy Targ
353,2018-11-29 07:20:01.700000,789,1,0,Parking Hala Stulecia
